"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"C1QB",348.427892447434,3.76355374531486,0.397395656514834,9.4705457485904,2.78385381419755e-21,2.43764363075917e-18
"ADGRL2",3.78941989228725,3.76001078918462,1.33785674738505,2.81047339076763,0.00494686793047074,0.0130364519579464
"CYP21A1P",2.07754877845949,3.7572199083221,1.01062509281514,3.71771880100086,0.000201029854313324,0.000813579645691571
"CHIT1",651.779654217297,3.75419279753558,0.615812657138558,6.096322889789,1.08536076193401e-09,2.31031930584495e-08
"SLED1",145.338385400981,3.7529253800216,0.508171412064668,7.38515644706125,1.52274232521281e-13,1.24825992139998e-11
"BHMT2",5.46284428474834,3.74715455592184,0.970365983970161,3.86158894460697,0.000112651985953042,0.000489208263615735
"METTL7B",124.480717802791,3.73640989444967,0.658940387620822,5.67033067731725,1.42522164912134e-08,2.09104873181063e-07
"TNFAIP8L3",20.5626376805079,3.73510085296655,0.673144933496846,5.54873202946576,2.87748816851196e-08,3.81237497099136e-07
"AP3B2",258.780395319834,3.72122036777276,0.630332467597839,5.90358351990675,3.55689424012531e-09,6.36211797973761e-08
"GLDN",41.5430785240442,3.71685593498033,0.681447971626104,5.45435028019966,4.91522279911626e-08,6.01186361918576e-07
"NECAB1",74.2672486856116,3.71363911105288,0.681393795903825,5.45006299349552,5.03519821443421e-08,6.1274831587404e-07
"AREG",204.15554861605,3.71045828095089,0.454941444618033,8.15590297354899,3.46580607217428e-16,7.02792507098582e-14
"MIR4772",26.0845974945159,3.69225609507102,0.577715735980696,6.3911295211706,1.64664826577202e-10,4.72039169521312e-09
"DAAM2",2798.90037605546,3.68235757601959,0.613837194055202,5.99891569243757,1.98639449335423e-09,3.90462666381362e-08
"FOXD3-AS1",2.56894819729162,3.68142354604073,1.101848160643,3.34113508334249,0.00083436617501425,0.00278372531961803
"FGF13-AS1",4.34060353996623,3.67298759446587,1.00791812779678,3.64413288457736,0.000268294784974917,0.00104328436369738
"VSIG4",1150.96762674175,3.67265158087746,0.584596360544609,6.2823716135626,3.33446614830517e-10,8.5532830733623e-09
"SMPD5",77.6745423480194,3.67031876134775,0.635937451888026,5.77150905399735,7.85647368016949e-09,1.24873852289427e-07
"KDM5D",570.894733903305,3.6692528127175,0.766256662165524,4.78854278714888,1.67996747431467e-06,1.28068434607036e-05
